entry_time,exit_time,side,entry_price,exit_price,quantity,pnl,reason,capital_after
2026-08-17T05:25:00+00:00,2026-08-17T06:15:00+00:00,long,4403.95,4398.49,1.1353444067257803,-11.1959,signal_exit,988.8041
2026-08-17T06:25:00+00:00,2026-08-17T07:15:00+00:00,long,4403.32,4401.79,1.1227938453593058,-6.661,signal_exit,982.1431
2026-08-17T07:25:00+00:00,2026-08-17T08:00:00+00:00,long,4409.1,4404.66,1.1137682098254205,-9.8534,signal_exit,972.2897
2026-08-17T20:55:00+00:00,2026-08-17T21:10:00+00:00,long,4421.29,4419.38,1.099554325873344,-6.9605,signal_exit,965.3292
2026-08-17T22:00:00+00:00,2026-08-17T22:25:00+00:00,long,4420.48,4416.97,1.0918827388141492,-8.6572,signal_exit,956.6719
2026-08-18T03:15:00+00:00,2026-08-18T04:45:00+00:00,short,4401.57,4399.86,1.0867394178512788,-2.9241,signal_exit,953.7478
2026-08-18T05:00:00+00:00,2026-08-18T05:05:00+00:00,short,4396.42,4398.88,1.0846868791353272,-7.4384,signal_exit,946.3094
2026-08-18T05:10:00+00:00,2026-08-18T05:15:00+00:00,short,4396.25,4399.28,1.076268882407648,-7.9943,signal_exit,938.3151
2026-08-18T05:25:00+00:00,2026-08-18T05:45:00+00:00,short,4396.46,4400.42,1.067125758589397,-8.9195,signal_exit,929.3956
2026-08-18T08:50:00+00:00,2026-08-18T09:50:00+00:00,short,4398.59,4398.83,1.0564699550264565,-4.9007,signal_exit,924.495
2026-08-18T13:05:00+00:00,2026-08-18T14:30:00+00:00,short,4394.44,4395.2,1.0518916837536565,-5.4223,signal_exit,919.0727
2026-08-18T16:35:00+00:00,2026-08-18T16:40:00+00:00,short,4370.31,4372.72,1.0514959646588415,-7.1307,signal_exit,911.9419
2026-08-18T16:45:00+00:00,2026-08-18T16:50:00+00:00,short,4368.95,4374.04,1.0436625850660493,-9.8746,signal_exit,902.0673
2026-08-18T16:55:00+00:00,2026-08-18T17:10:00+00:00,short,4369.12,4372.03,1.0323215222682982,-7.5159,signal_exit,894.5514
2026-08-18T17:15:00+00:00,2026-08-18T17:20:00+00:00,short,4369.2,4372.69,1.0237016245623745,-8.0473,signal_exit,886.5042
2026-08-18T17:30:00+00:00,2026-08-18T18:35:00+00:00,short,4370.11,4364.99,1.0142812943386896,0.7632,signal_exit,887.2674
2026-08-18T18:40:00+00:00,2026-08-18T21:10:00+00:00,short,4359.37,4345.2,1.0176554885229,9.9911,signal_exit,897.2584
